,uf,cad_pobreza,cad_pretos,cad_pardos,cad_negros,pop_total,pop_pretos_percentual,pop_pardos_percentual,pop_negros_percentual,percentual_negros_cad,percentual_pobreza
7,MARANHÃO,3454858,197690,3619329,3817019,7000726.00000019,11.947580751588015,68.5442432383709,80.49182398995892,54.52318802364064,49.349995986129244
8,PIAUÍ,1462724,116364,1506873,1623237,3263753.999999942,9.072589001682562,70.89077401816905,79.96336301985161,49.73527416588471,44.817225808073346
1,ACRE,378245,11292,372763,384055,853022.999999987,5.346175113247707,72.3167762412478,77.6629513544955,45.022818845448,44.34171177096113
4,PARÁ,3535304,170021,3890685,4060706,8472029.000000311,8.171170586767486,72.69579662251263,80.86696720928012,47.93073772528223,41.72913005845318
2,AMAZONAS,1627522,20466,1710924,1731390,3921508.0000000354,2.9897180688775906,77.40833125365249,80.39804932253008,44.15112757643193,41.50245262791725
11,PARAÍBA,1633424,89083,1493385,1582468,3975329.0000000205,5.696498262696593,60.957366412699564,66.65386467539616,39.807220987243866,41.089026845325044
13,ALAGOAS,1332815,64476,1429560,1494036,3315564.000000027,5.694452403844388,67.74580763206478,73.44026003590918,45.061292739334476,40.19874145092627
15,BAHIA,5818341,1064382,5906123,6970505,14793318.999999486,22.91494463464368,58.16505369178199,81.07999832642567,47.11927728997287,39.33086956348472
14,SERGIPE,876803,59259,954032,1013291,2277955.999999982,8.205180675448172,71.49126340134741,79.69644407679559,44.48246585974479,38.49077857517911
9,CEARÁ,3477372,84119,4205747,4289866,9072979.999999978,5.288679438167536,65.71441928990376,71.0030987280713,47.28177511688564,38.3266798780556
12,PERNAMBUCO,3575991,226898,3380305,3607203,9439033.000000073,6.4626938955694415,61.22204914360703,67.68474303917647,38.215810878084355,37.8851414122609
3,RORAIMA,191608,7354,187201,194555,513465.9999999934,7.674129412216117,60.86162053009424,68.53574994231036,37.890532187136536,37.31658960866005
5,AMAPÁ,295029,13119,310055,323174,821544.9999999894,6.996880623346661,74.26080562678624,81.25768625013289,39.33734609790142,35.91148385055034
10,RIO GRANDE DO NORTE,1157272,63979,1095499,1159478,3479009.999999954,5.977263997834158,57.97188828689481,63.94915228472897,33.32781452194778,33.264405678627405
6,TOCANTINS,454861,58400,610687,669087,1542150.0000000012,12.447240380361086,65.0177513700672,77.46499175042828,43.38663554128973,29.495250137794613
0,RONDÔNIA,309732,29132,436147,465279,1747154.0000000068,6.710324927997968,62.40118128309808,69.11150621109606,26.630680523869,17.72780189954628
23,MATO GROSSO DO SUL,469853,38936,539916,578852,2679111.999999956,6.402714798832228,47.2832761087099,53.68599090754213,21.606114264726877,17.537639337213513
24,MATO GROSSO,586999,79183,792233,871416,3388918.9999999753,10.196309782396257,57.62908895914653,67.82539874154278,25.7136862816729,17.32112806473109
16,MINAS GERAIS,3602175,667943,3930607,4598550,21030103.99999998,11.776008886606155,48.18599041461261,59.96199930121877,21.866510978737928,17.128659943859542
18,RIO DE JANEIRO,2881178,619275,2265641,2884916,17159435.00000022,13.378883181950453,40.82782451682192,54.20670769877238,16.812418357597224,16.79063442356909
17,ESPÍRITO SANTO,644780,105065,744680,849745,3968734.0000000605,11.040549598714342,51.10267279413524,62.14322239284958,21.410983956092473,16.24649069451342
25,GOIÁS,1091923,101484,1439552,1541036,6923260.000000145,9.209730678032843,53.98941133502878,63.19914201306162,22.25882026675248,15.771804034515199
19,SÃO PAULO,5293662,666461,4387737,5054198,45532652.999999724,7.585709203372363,31.612985892466472,39.198695095838836,11.100161459952774,11.626078541920306
20,PARANÁ,1296340,111265,894683,1005948,11335546.999999685,4.077917630659036,29.259317403817832,33.33723503447687,8.874278409326235,11.436060385970222
22,RIO GRANDE DO SUL,1259775,208485,313798,522283,11310970.000000015,6.504796440302052,14.473032466097159,20.97782890639921,4.617490807596513,11.137638946969167
26,DISTRITO FEDERAL,288193,29124,297540,326664,2972209.0000000363,10.525422711974839,50.387974328988406,60.91339704096325,10.990613378803307,9.696256218859322
21,SANTA CATARINA,449229,47455,190104,237559,7063803.99999986,3.020701129966413,16.536567725894226,19.557268855860638,3.3630463132896202,6.359590385010809
